agent,timestamp,rss_mb
editor_agent,1744879383.655119,87.68
editor_agent,1744879388.6607103,87.68
editor_agent,1744879393.6632817,87.18
editor_agent,1744879398.6643393,91.05
editor_agent,1744879403.6652713,90.55
editor_agent,1744879408.6678243,90.55
editor_agent,1744879413.6692657,87.55
editor_agent,1744879418.6744049,86.55
editor_agent,1744879423.6765792,84.55
editor_agent,1744879428.6783233,84.55
editor_agent,1744879433.6807404,82.55
editor_agent,1744879438.6830623,82.55
editor_agent,1744879443.6860688,82.55
editor_agent,1744879448.688881,83.05
editor_agent,1744879453.691335,83.05
editor_agent,1744879458.6919577,83.55
editor_agent,1744879463.6930878,83.55
editor_agent,1744879468.6939533,83.55
editor_agent,1744879473.6952403,83.55
editor_agent,1744879478.696074,84.05
editor_agent,1744879483.6971729,84.05
editor_agent,1744879488.699926,84.05
editor_agent,1744879493.7020144,84.05
editor_agent,1744879498.702733,84.05
editor_agent,1744879503.7034235,84.05
editor_agent,1744879508.7054224,84.05
editor_agent,1744879513.7072792,84.05
editor_agent,1744879518.7083094,84.05
editor_agent,1744879523.7095926,84.05
editor_agent,1744879528.7110567,84.05
editor_agent,1744879533.7114089,83.55
editor_agent,1744879538.713026,83.55
editor_agent,1744879543.7137384,84.05
editor_agent,1744879548.7153895,84.05
editor_agent,1744879553.7171304,83.55
editor_agent,1744879558.7214515,83.55
editor_agent,1744879563.7221487,83.55
editor_agent,1744879568.7239938,83.55
editor_agent,1744879573.7260182,84.05
editor_agent,1744879578.728677,84.05
editor_agent,1744879583.7302556,84.05
editor_agent,1744879588.7338614,84.05
editor_agent,1744879593.7350385,84.05
editor_agent,1744879598.7361598,84.05
editor_agent,1744879603.738347,85.55
editor_agent,1744879608.743527,85.55
editor_agent,1744879613.7464032,86.55
editor_agent,1744879618.7515879,86.55
editor_agent,1744879623.7551527,86.55
editor_agent,1744879628.7603617,86.55
editor_agent,1744879633.7656024,86.55
editor_agent,1744879638.770796,86.55
